Invoice_no,Customer_ID,Gender,Age,Category,Quantity_Sold,Unit_Price,Total_Revenue,Payment_Method,Invoice_Date,Shopping_Mall
I181943,C188090,Male,20,Food & Beverage,5,26.15,130.75,Cash,01/04/2022,Mall of Istanbul
I326975,C226635,Female,56,Technology,4,4200,16800,Credit Card,01/04/2022,Zorlu Center
I298048,C490540,Male,67,Clothing,2,600.16,1200.32,Debit Card,01/04/2022,Kanyon
I200045,C312572,Male,34,Souvenir,1,11.73,11.73,Debit Card,01/04/2022,Cevahir AVM
I306894,C263987,Female,42,Toys,3,107.52,322.56,Debit Card,01/04/2022,Metropol AVM
I240140,C328107,Female,64,Souvenir,4,46.92,187.68,Credit Card,01/04/2022,Mall of Istanbul
I291669,C616818,Female,39,Food & Beverage,1,5.23,5.23,Cash,01/04/2022,Metrocity
I163750,C238928,Male,23,Food & Beverage,4,20.92,83.68,Credit Card,01/04/2022,Kanyon
I803239,C377833,Male,24,Food & Beverage,4,20.92,83.68,Credit Card,01/04/2022,Emaar Square Mall
I298160,C134883,Male,49,Food & Beverage,2,10.46,20.92,Credit Card,01/04/2022,Zorlu Center
I882138,C536204,Female,53,Cosmetics,4,162.64,650.56,Debit Card,01/04/2022,Kanyon
I414415,C275937,Male,29,Food & Beverage,3,15.69,47.07,Cash,01/04/2022,Mall of Istanbul
I270333,C274037,Female,30,Clothing,5,1500.4,7502,Cash,01/04/2022,Kanyon
I251275,C299427,Male,53,Cosmetics,2,81.32,162.64,Cash,01/04/2022,Metrocity
I153206,C240011,Female,45,Toys,5,179.2,896,Debit Card,01/04/2022,Kanyon
I144062,C199439,Male,26,Clothing,2,600.16,1200.32,Cash,01/04/2022,Istinye Park
I325873,C499687,Female,22,Cosmetics,3,121.98,365.94,Debit Card,01/04/2022,Mall of Istanbul
I964652,C193764,Female,36,Food & Beverage,4,20.92,83.68,Cash,01/04/2022,Mall of Istanbul
I489792,C914458,Female,48,Clothing,2,600.16,1200.32,Cash,01/04/2022,Zorlu Center
I284376,C132224,Male,25,Food & Beverage,4,20.92,83.68,Credit Card,01/04/2022,Cevahir AVM
I175349,C332753,Female,63,Souvenir,1,11.73,11.73,Debit Card,01/04/2022,Kanyon
I247135,C133649,Female,18,Food & Beverage,4,20.92,83.68,Cash,01/04/2022,Mall of Istanbul
I184590,C203418,Male,49,Clothing,5,1500.4,7502,Credit Card,01/04/2022,Viaport Outlet
I274997,C865970,Male,23,Clothing,2,600.16,1200.32,Cash,01/04/2022,Istinye Park
I179319,C186997,Male,67,Toys,3,107.52,322.56,Credit Card,01/04/2022,Metropol AVM
I209999,C266583,Female,28,Clothing,5,1500.4,7502,Cash,01/04/2022,Istinye Park
I783365,C140427,Female,36,Food & Beverage,4,20.92,83.68,Credit Card,01/04/2022,Metropol AVM
I781630,C781870,Female,58,Technology,4,4200,16800,Credit Card,01/04/2022,Mall of Istanbul
I502295,C979974,Male,44,Clothing,4,1200.32,4801.28,Cash,01/04/2022,Zorlu Center
I123917,C281796,Female,45,Shoes,3,1800.51,5401.53,Cash,01/04/2022,Forum Istanbul
I126840,C175188,Male,28,Cosmetics,5,203.3,1016.5,Credit Card,01/04/2022,Mall of Istanbul
I235662,C281232,Male,22,Clothing,1,300.08,300.08,Cash,01/04/2022,Mall of Istanbul
I224739,C159498,Male,67,Food & Beverage,5,26.15,130.75,Cash,01/04/2022,Kanyon
I319349,C224032,Female,39,Cosmetics,1,40.66,40.66,Credit Card,01/04/2022,Forum Istanbul
I130570,C237892,Male,50,Cosmetics,3,121.98,365.94,Debit Card,01/04/2022,Mall of Istanbul
I337659,C169953,Female,60,Clothing,2,600.16,1200.32,Debit Card,01/04/2022,Emaar Square Mall
I280125,C629783,Female,57,Clothing,1,300.08,300.08,Credit Card,01/04/2022,Emaar Square Mall
I145281,C203612,Male,19,Clothing,4,1200.32,4801.28,Cash,01/04/2022,Kanyon
I242142,C109465,Female,43,Food & Beverage,1,5.23,5.23,Cash,01/04/2022,Metrocity
I118500,C297653,Male,52,Food & Beverage,5,26.15,130.75,Cash,01/04/2022,Cevahir AVM
I701220,C266732,Female,44,Cosmetics,4,162.64,650.56,Credit Card,01/04/2022,Forum Istanbul
I125187,C339331,Male,37,Clothing,5,1500.4,7502,Credit Card,01/04/2022,Kanyon
I115777,C937086,Male,66,Food & Beverage,1,5.23,5.23,Credit Card,01/04/2022,Zorlu Center
I173215,C759658,Male,30,Clothing,4,1200.32,4801.28,Cash,01/04/2022,Metropol AVM
I108633,C182892,Male,37,Cosmetics,3,121.98,365.94,Credit Card,01/04/2022,Mall of Istanbul
I236996,C144280,Male,26,Shoes,3,1800.51,5401.53,Cash,01/04/2022,Kanyon
I619667,C312637,Male,42,Cosmetics,5,203.3,1016.5,Debit Card,01/04/2022,Cevahir AVM
I119400,C262129,Female,51,Clothing,3,900.24,2700.72,Cash,01/04/2022,Metrocity
I108080,C102015,Male,66,Clothing,2,600.16,1200.32,Cash,01/04/2022,Metrocity
I911157,C144291,Female,37,Food & Beverage,2,10.46,20.92,Credit Card,01/04/2022,Metrocity
I276432,C179718,Male,20,Shoes,2,1200.34,2400.68,Cash,01/04/2022,Kanyon
I199093,C321296,Female,45,Cosmetics,2,81.32,162.64,Cash,01/04/2022,Istinye Park
I799316,C499732,Male,60,Toys,5,179.2,896,Credit Card,01/04/2022,Viaport Outlet
I170117,C482438,Male,66,Cosmetics,4,162.64,650.56,Cash,01/04/2022,Metropol AVM
I299324,C165664,Female,33,Toys,5,179.2,896,Cash,01/04/2022,Metrocity
I320965,C123527,Female,38,Toys,3,107.52,322.56,Cash,01/04/2022,Kanyon
I391028,C277632,Male,49,Books,5,75.75,378.75,Debit Card,01/04/2022,Kanyon
I266590,C339644,Female,42,Cosmetics,3,121.98,365.94,Credit Card,01/04/2022,Zorlu Center
I313734,C270391,Female,22,Clothing,2,600.16,1200.32,Debit Card,01/04/2022,Mall of Istanbul
I532576,C817178,Female,53,Food & Beverage,4,20.92,83.68,Debit Card,01/04/2022,Emaar Square Mall
I104484,C125489,Female,21,Clothing,2,600.16,1200.32,Credit Card,01/04/2022,Metrocity
I775828,C428183,Female,34,Shoes,1,600.17,600.17,Cash,01/04/2022,Metrocity
I299838,C186380,Female,21,Food & Beverage,5,26.15,130.75,Credit Card,01/04/2022,Istinye Park
I195820,C142586,Female,65,Clothing,5,1500.4,7502,Debit Card,01/04/2022,Mall of Istanbul
I157294,C238380,Male,64,Shoes,4,2400.68,9602.72,Credit Card,01/04/2022,Emaar Square Mall
I201026,C121006,Female,28,Toys,2,71.68,143.36,Cash,01/04/2022,Mall of Istanbul
I318053,C139161,Female,28,Cosmetics,3,121.98,365.94,Credit Card,01/04/2022,Kanyon
I967849,C211597,Male,56,Food & Beverage,3,15.69,47.07,Cash,01/04/2022,Kanyon
I121573,C124311,Female,31,Toys,2,71.68,143.36,Cash,01/04/2022,Zorlu Center
I131316,C229840,Male,51,Clothing,4,1200.32,4801.28,Credit Card,01/04/2022,Mall of Istanbul
I269669,C472885,Male,55,Shoes,5,3000.85,15004.25,Cash,01/04/2022,Cevahir AVM
I496369,C553716,Male,42,Shoes,2,1200.34,2400.68,Cash,01/04/2022,Kanyon
I157457,C183472,Female,46,Toys,3,107.52,322.56,Credit Card,01/04/2022,Viaport Outlet
I188393,C234488,Male,37,Cosmetics,5,203.3,1016.5,Debit Card,01/04/2022,Metrocity
I189149,C170607,Male,21,Clothing,2,600.16,1200.32,Credit Card,01/04/2022,Mall of Istanbul
I165939,C232837,Male,18,Cosmetics,2,81.32,162.64,Cash,01/04/2022,Zorlu Center
I276882,C546654,Male,49,Cosmetics,5,203.3,1016.5,Cash,01/04/2022,Kanyon
I210185,C110716,Female,36,Clothing,2,600.16,1200.32,Debit Card,01/04/2022,Kanyon
I973474,C489509,Male,60,Clothing,3,900.24,2700.72,Credit Card,01/04/2022,Forum Istanbul
I118765,C174298,Male,53,Clothing,2,600.16,1200.32,Credit Card,01/04/2022,Kanyon
I183987,C281843,Male,49,Clothing,2,600.16,1200.32,Cash,01/04/2022,Zorlu Center
I823144,C216510,Male,27,Clothing,4,1200.32,4801.28,Debit Card,01/04/2022,Mall of Istanbul
I361380,C562160,Male,63,Cosmetics,1,40.66,40.66,Credit Card,01/04/2022,Emaar Square Mall
I262889,C271642,Male,61,Food & Beverage,4,20.92,83.68,Debit Card,01/04/2022,Metrocity
I163922,C960283,Male,49,Clothing,3,900.24,2700.72,Cash,01/04/2022,Viaport Outlet
I149766,C197308,Female,48,Cosmetics,3,121.98,365.94,Cash,02/04/2022,Mall of Istanbul
I266552,C162854,Female,32,Food & Beverage,2,10.46,20.92,Cash,02/04/2022,Istinye Park
I285686,C810843,Male,41,Clothing,4,1200.32,4801.28,Credit Card,02/04/2022,Kanyon
I278368,C337377,Female,35,Food & Beverage,1,5.23,5.23,Debit Card,02/04/2022,Mall of Istanbul
I281916,C253733,Male,41,Shoes,4,2400.68,9602.72,Cash,02/04/2022,Metrocity
I159872,C335564,Male,61,Clothing,4,1200.32,4801.28,Cash,02/04/2022,Metrocity
I218416,C305836,Male,34,Shoes,3,1800.51,5401.53,Credit Card,02/04/2022,Istinye Park
I335956,C274847,Female,67,Food & Beverage,5,26.15,130.75,Cash,02/04/2022,Zorlu Center
I126336,C543215,Male,69,Food & Beverage,2,10.46,20.92,Credit Card,02/04/2022,Metropol AVM
I107805,C306774,Male,31,Shoes,4,2400.68,9602.72,Credit Card,02/04/2022,Forum Istanbul
I559463,C229072,Female,61,Souvenir,2,23.46,46.92,Cash,02/04/2022,Zorlu Center
I193672,C199762,Female,40,Souvenir,5,58.65,293.25,Cash,02/04/2022,Metrocity
I787879,C183855,Female,57,Toys,3,107.52,322.56,Credit Card,02/04/2022,Metropol AVM
I187342,C436084,Female,58,Toys,1,35.84,35.84,Cash,02/04/2022,Metrocity
I160419,C862089,Female,62,Shoes,2,1200.34,2400.68,Cash,02/04/2022,Metrocity
I147690,C123692,Male,31,Cosmetics,2,81.32,162.64,Debit Card,02/04/2022,Metrocity
I689330,C148445,Female,37,Souvenir,3,35.19,105.57,Credit Card,02/04/2022,Istinye Park
I276113,C222482,Male,36,Souvenir,2,23.46,46.92,Cash,02/04/2022,Viaport Outlet
I229050,C901355,Female,54,Clothing,5,1500.4,7502,Debit Card,02/04/2022,Cevahir AVM
I311798,C884825,Male,31,Souvenir,5,58.65,293.25,Cash,02/04/2022,Mall of Istanbul
I318177,C109931,Male,45,Shoes,1,600.17,600.17,Cash,02/04/2022,Mall of Istanbul
I181613,C603813,Male,23,Cosmetics,5,203.3,1016.5,Credit Card,02/04/2022,Mall of Istanbul
I253127,C566545,Female,34,Shoes,2,1200.34,2400.68,Credit Card,02/04/2022,Forum Istanbul
I504784,C122566,Female,69,Technology,1,1050,1050,Cash,02/04/2022,Mall of Istanbul
I125623,C891320,Male,60,Shoes,2,1200.34,2400.68,Credit Card,02/04/2022,Mall of Istanbul
I236940,C340219,Female,37,Books,1,15.15,15.15,Credit Card,02/04/2022,Forum Istanbul
I202359,C754340,Male,68,Clothing,2,600.16,1200.32,Cash,02/04/2022,Mall of Istanbul
I203638,C777563,Female,51,Shoes,2,1200.34,2400.68,Credit Card,02/04/2022,Kanyon
I176458,C204661,Female,27,Clothing,1,300.08,300.08,Debit Card,02/04/2022,Istinye Park
I529047,C336934,Male,63,Toys,3,107.52,322.56,Cash,02/04/2022,Metropol AVM
I315401,C390596,Male,61,Shoes,2,1200.34,2400.68,Cash,02/04/2022,Metrocity
I794441,C648895,Female,58,Cosmetics,2,81.32,162.64,Credit Card,02/04/2022,Forum Istanbul
I137480,C250389,Male,57,Books,4,60.6,242.4,Debit Card,02/04/2022,Mall of Istanbul
I303217,C156224,Female,53,Clothing,2,600.16,1200.32,Debit Card,02/04/2022,Kanyon
I223034,C172070,Male,24,Toys,5,179.2,896,Credit Card,02/04/2022,Mall of Istanbul
I233321,C125665,Male,36,Shoes,1,600.17,600.17,Cash,02/04/2022,Metropol AVM
I914590,C141574,Male,33,Cosmetics,4,162.64,650.56,Debit Card,02/04/2022,Mall of Istanbul
I257350,C288120,Male,26,Clothing,5,1500.4,7502,Cash,02/04/2022,Kanyon
I384117,C197413,Male,22,Food & Beverage,3,15.69,47.07,Credit Card,02/04/2022,Metrocity
I219550,C209412,Female,47,Clothing,4,1200.32,4801.28,Cash,02/04/2022,Emaar Square Mall
I280011,C697284,Male,68,Clothing,3,900.24,2700.72,Credit Card,02/04/2022,Mall of Istanbul
I534127,C265716,Male,63,Cosmetics,1,40.66,40.66,Cash,02/04/2022,Metropol AVM
I275031,C131651,Male,40,Clothing,5,1500.4,7502,Credit Card,02/04/2022,Mall of Istanbul
I281011,C159979,Female,27,Shoes,5,3000.85,15004.25,Cash,02/04/2022,Kanyon
I183073,C138914,Female,43,Clothing,4,1200.32,4801.28,Cash,02/04/2022,Metrocity
I368119,C106692,Female,63,Cosmetics,1,40.66,40.66,Cash,02/04/2022,Kanyon
I321447,C204659,Female,39,Cosmetics,3,121.98,365.94,Debit Card,02/04/2022,Mall of Istanbul
I106061,C101576,Male,41,Clothing,2,600.16,1200.32,Cash,02/04/2022,Kanyon
I136292,C278094,Male,27,Shoes,5,3000.85,15004.25,Cash,02/04/2022,Kanyon
I833433,C197350,Female,63,Cosmetics,4,162.64,650.56,Credit Card,02/04/2022,Metrocity
I289444,C320646,Male,37,Clothing,3,900.24,2700.72,Cash,02/04/2022,Metropol AVM
I183755,C220941,Female,53,Clothing,4,1200.32,4801.28,Credit Card,02/04/2022,Mall of Istanbul
I572679,C270390,Female,27,Food & Beverage,3,15.69,47.07,Credit Card,02/04/2022,Mall of Istanbul
I305041,C135716,Female,22,Souvenir,1,11.73,11.73,Cash,02/04/2022,Metrocity
I148744,C184558,Male,36,Food & Beverage,4,20.92,83.68,Credit Card,02/04/2022,Kanyon
I117996,C914253,Female,53,Technology,5,5250,26250,Cash,02/04/2022,Metrocity
I279833,C232896,Male,65,Clothing,2,600.16,1200.32,Credit Card,02/04/2022,Mall of Istanbul
I168050,C421946,Male,24,Food & Beverage,4,20.92,83.68,Cash,02/04/2022,Viaport Outlet
I196874,C162939,Male,68,Food & Beverage,4,20.92,83.68,Debit Card,02/04/2022,Istinye Park
I274954,C324108,Male,41,Food & Beverage,2,10.46,20.92,Cash,02/04/2022,Mall of Istanbul
I256435,C769344,Male,36,Cosmetics,3,121.98,365.94,Credit Card,02/04/2022,Istinye Park
I816024,C118348,Male,64,Clothing,4,1200.32,4801.28,Cash,02/04/2022,Metropol AVM
I211391,C239095,Female,33,Clothing,1,300.08,300.08,Cash,02/04/2022,Viaport Outlet
I186377,C236086,Female,43,Clothing,1,300.08,300.08,Cash,02/04/2022,Mall of Istanbul
I275376,C329529,Male,40,Clothing,3,900.24,2700.72,Cash,02/04/2022,Mall of Istanbul
I212631,C243313,Male,33,Clothing,1,300.08,300.08,Cash,02/04/2022,Metrocity
I250512,C533849,Male,48,Food & Beverage,2,10.46,20.92,Credit Card,02/04/2022,Kanyon
I315333,C168100,Female,18,Souvenir,4,46.92,187.68,Debit Card,02/04/2022,Istinye Park
I156460,C160570,Female,57,Food & Beverage,3,15.69,47.07,Credit Card,02/04/2022,Mall of Istanbul
I337275,C192743,Female,49,Technology,3,3150,9450,Cash,02/04/2022,Viaport Outlet
I188284,C287298,Female,58,Clothing,1,300.08,300.08,Cash,02/04/2022,Istinye Park
I603499,C151700,Female,61,Toys,1,35.84,35.84,Cash,02/04/2022,Emaar Square Mall
I198436,C248645,Female,22,Food & Beverage,4,20.92,83.68,Debit Card,02/04/2022,Mall of Istanbul
I324234,C255949,Female,37,Cosmetics,4,162.64,650.56,Credit Card,02/04/2022,Kanyon
I104908,C113662,Male,36,Cosmetics,4,162.64,650.56,Cash,02/04/2022,Metrocity
I147541,C850677,Female,57,Clothing,2,600.16,1200.32,Cash,02/04/2022,Zorlu Center
I210835,C160772,Female,37,Cosmetics,3,121.98,365.94,Credit Card,02/04/2022,Viaport Outlet
I333765,C309568,Male,48,Clothing,2,600.16,1200.32,Cash,02/04/2022,Kanyon
I294084,C679811,Male,22,Food & Beverage,3,15.69,47.07,Cash,02/04/2022,Metrocity
I133068,C327050,Female,62,Technology,2,2100,4200,Cash,02/04/2022,Viaport Outlet
I145117,C197543,Female,50,Clothing,1,300.08,300.08,Debit Card,02/04/2022,Cevahir AVM
I233771,C655801,Female,38,Toys,4,143.36,573.44,Cash,02/04/2022,Emaar Square Mall
I317080,C955494,Female,41,Technology,2,2100,4200,Credit Card,02/04/2022,Emaar Square Mall
I239919,C481043,Female,23,Clothing,5,1500.4,7502,Cash,02/04/2022,Istinye Park
I151998,C128989,Female,26,Food & Beverage,4,20.92,83.68,Credit Card,02/04/2022,Mall of Istanbul
I132457,C154551,Male,27,Clothing,2,600.16,1200.32,Credit Card,02/04/2022,Mall of Istanbul
I335861,C170044,Male,66,Food & Beverage,3,15.69,47.07,Debit Card,02/04/2022,Istinye Park
I206197,C126211,Male,28,Cosmetics,3,121.98,365.94,Credit Card,02/04/2022,Kanyon
I279668,C140240,Female,33,Food & Beverage,1,5.23,5.23,Cash,02/04/2022,Kanyon
I848549,C318800,Male,42,Cosmetics,3,121.98,365.94,Debit Card,02/04/2022,Mall of Istanbul
I100630,C753708,Female,66,Food & Beverage,4,20.92,83.68,Debit Card,02/04/2022,Kanyon
I105450,C181333,Male,68,Food & Beverage,1,5.23,5.23,Credit Card,02/04/2022,Cevahir AVM
I457927,C109928,Male,60,Cosmetics,4,162.64,650.56,Credit Card,02/04/2022,Kanyon
I310364,C139650,Female,30,Clothing,5,1500.4,7502,Cash,02/04/2022,Istinye Park
I250177,C129472,Female,53,Technology,2,2100,4200,Debit Card,02/04/2022,Viaport Outlet
I100666,C996052,Female,62,Books,2,30.3,60.6,Cash,02/04/2022,Metrocity
I924503,C746533,Male,63,Souvenir,5,58.65,293.25,Cash,02/04/2022,Cevahir AVM
I226593,C183466,Female,36,Clothing,5,1500.4,7502,Cash,02/04/2022,Kanyon
I552484,C845537,Female,32,Souvenir,1,11.73,11.73,Cash,02/04/2022,Zorlu Center
I810650,C392614,Male,33,Clothing,5,1500.4,7502,Cash,02/04/2022,Mall of Istanbul
I218464,C755863,Female,39,Shoes,5,3000.85,15004.25,Credit Card,02/04/2022,Viaport Outlet
I952739,C644518,Female,30,Clothing,2,600.16,1200.32,Credit Card,02/04/2022,Emaar Square Mall
I168738,C156462,Female,56,Shoes,2,1200.34,2400.68,Credit Card,02/04/2022,Zorlu Center
I434409,C260519,Male,23,Shoes,2,1200.34,2400.68,Debit Card,02/04/2022,Istinye Park
I197623,C982868,Male,49,Shoes,1,600.17,600.17,Credit Card,02/04/2022,Kanyon
I175509,C954644,Female,56,Clothing,5,1500.4,7502,Cash,02/04/2022,Zorlu Center
I287528,C280569,Male,67,Cosmetics,5,203.3,1016.5,Credit Card,02/04/2022,Kanyon
I300271,C261611,Female,46,Shoes,2,1200.34,2400.68,Cash,02/04/2022,Viaport Outlet
I947067,C236994,Male,43,Shoes,2,1200.34,2400.68,Debit Card,02/04/2022,Metropol AVM
I723757,C136275,Female,35,Cosmetics,1,40.66,40.66,Cash,02/04/2022,Kanyon
I167071,C307154,Male,58,Food & Beverage,2,10.46,20.92,Cash,02/04/2022,Istinye Park
I178752,C226199,Male,21,Clothing,3,900.24,2700.72,Cash,02/04/2022,Cevahir AVM
I861834,C285005,Female,60,Cosmetics,2,81.32,162.64,Cash,02/04/2022,Kanyon
I207201,C100525,Female,36,Clothing,2,600.16,1200.32,Cash,02/04/2022,Metrocity
I288053,C201818,Male,34,Toys,1,35.84,35.84,Debit Card,02/04/2022,Istinye Park
I340027,C308386,Female,34,Souvenir,3,35.19,105.57,Cash,02/04/2022,Metropol AVM
I300006,C759024,Female,69,Food & Beverage,5,26.15,130.75,Cash,02/04/2022,Mall of Istanbul
I108926,C208527,Female,21,Shoes,2,1200.34,2400.68,Cash,02/04/2022,Cevahir AVM
I110823,C334518,Female,47,Clothing,1,300.08,300.08,Credit Card,03/04/2022,Metrocity
I255891,C335904,Male,42,Technology,5,5250,26250,Debit Card,03/04/2022,Istinye Park
I332029,C301181,Female,18,Shoes,3,1800.51,5401.53,Credit Card,03/04/2022,Metrocity
I259898,C926896,Female,22,Clothing,2,600.16,1200.32,Debit Card,03/04/2022,Zorlu Center
I453056,C569118,Female,57,Clothing,5,1500.4,7502,Debit Card,03/04/2022,Kanyon
I689076,C792244,Male,35,Shoes,1,600.17,600.17,Cash,03/04/2022,Metrocity
I138110,C290162,Female,50,Food & Beverage,4,20.92,83.68,Cash,03/04/2022,Mall of Istanbul
I313728,C336317,Female,55,Souvenir,4,46.92,187.68,Cash,03/04/2022,Mall of Istanbul
I166759,C579410,Male,33,Toys,2,71.68,143.36,Cash,03/04/2022,Istinye Park
I328464,C177892,Female,41,Clothing,5,1500.4,7502,Credit Card,03/04/2022,Metrocity
I205421,C262169,Female,22,Clothing,1,300.08,300.08,Credit Card,03/04/2022,Kanyon
I239655,C246081,Male,57,Food & Beverage,3,15.69,47.07,Credit Card,03/04/2022,Viaport Outlet
I227493,C301456,Male,65,Books,3,45.45,136.35,Credit Card,03/04/2022,Kanyon
I793321,C420895,Male,62,Books,2,30.3,60.6,Debit Card,03/04/2022,Forum Istanbul
I201046,C924341,Female,56,Cosmetics,3,121.98,365.94,Debit Card,03/04/2022,Metrocity
I199471,C193740,Male,34,Food & Beverage,3,15.69,47.07,Debit Card,03/04/2022,Metrocity
I477924,C478120,Male,21,Shoes,2,1200.34,2400.68,Cash,03/04/2022,Metrocity
I247169,C229723,Female,28,Shoes,1,600.17,600.17,Cash,03/04/2022,Metrocity
I106031,C329765,Female,56,Clothing,1,300.08,300.08,Debit Card,03/04/2022,Metropol AVM
I253188,C117067,Female,66,Clothing,4,1200.32,4801.28,Cash,03/04/2022,Kanyon
I277455,C715222,Female,63,Technology,5,5250,26250,Cash,03/04/2022,Kanyon
I793349,C171438,Female,24,Books,3,45.45,136.35,Cash,03/04/2022,Kanyon
I272489,C195675,Male,22,Clothing,5,1500.4,7502,Cash,03/04/2022,Mall of Istanbul
I953775,C116596,Male,64,Food & Beverage,1,5.23,5.23,Credit Card,03/04/2022,Mall of Istanbul
I354814,C145507,Male,21,Cosmetics,1,40.66,40.66,Cash,03/04/2022,Istinye Park
I210753,C233222,Female,46,Clothing,1,300.08,300.08,Cash,03/04/2022,Kanyon
I373429,C221639,Male,18,Clothing,5,1500.4,7502,Credit Card,03/04/2022,Istinye Park
I152732,C159876,Female,57,Clothing,5,1500.4,7502,Cash,03/04/2022,Mall of Istanbul
I118699,C588217,Female,49,Food & Beverage,1,5.23,5.23,Cash,03/04/2022,Cevahir AVM
I230645,C501533,Male,28,Food & Beverage,4,20.92,83.68,Cash,03/04/2022,Mall of Istanbul
I274981,C329966,Male,30,Technology,4,4200,16800,Cash,03/04/2022,Istinye Park
I311556,C191643,Male,21,Shoes,2,1200.34,2400.68,Cash,03/04/2022,Istinye Park
I126930,C324067,Female,57,Clothing,2,600.16,1200.32,Cash,03/04/2022,Metrocity
I129675,C114752,Female,34,Clothing,4,1200.32,4801.28,Credit Card,03/04/2022,Zorlu Center
I224106,C192637,Female,24,Food & Beverage,2,10.46,20.92,Cash,03/04/2022,Metropol AVM
I338519,C699945,Female,54,Food & Beverage,2,10.46,20.92,Credit Card,03/04/2022,Kanyon
I221721,C315728,Female,18,Cosmetics,2,81.32,162.64,Cash,03/04/2022,Metrocity
I103265,C256916,Female,58,Clothing,5,1500.4,7502,Debit Card,03/04/2022,Mall of Istanbul
I119706,C249784,Male,28,Souvenir,3,35.19,105.57,Cash,03/04/2022,Metropol AVM
I103983,C273058,Male,64,Books,3,45.45,136.35,Credit Card,03/04/2022,Mall of Istanbul
I490557,C292025,Female,40,Cosmetics,2,81.32,162.64,Cash,03/04/2022,Kanyon
I127366,C224824,Male,48,Clothing,2,600.16,1200.32,Debit Card,03/04/2022,Zorlu Center
I150351,C189697,Female,35,Souvenir,1,11.73,11.73,Credit Card,03/04/2022,Metropol AVM
I814254,C300082,Male,35,Shoes,3,1800.51,5401.53,Cash,03/04/2022,Istinye Park
I431344,C338835,Male,46,Books,3,45.45,136.35,Debit Card,03/04/2022,Kanyon
I227176,C104453,Female,64,Shoes,5,3000.85,15004.25,Cash,03/04/2022,Cevahir AVM
I270752,C103535,Male,37,Clothing,1,300.08,300.08,Cash,03/04/2022,Emaar Square Mall
I235986,C205048,Male,57,Toys,2,71.68,143.36,Cash,03/04/2022,Metropol AVM
I308705,C322479,Male,59,Toys,3,107.52,322.56,Credit Card,03/04/2022,Mall of Istanbul
I203843,C944904,Male,46,Toys,3,107.52,322.56,Cash,03/04/2022,Metrocity
I945930,C392390,Female,63,Souvenir,1,11.73,11.73,Credit Card,03/04/2022,Kanyon
I287166,C290670,Female,22,Shoes,4,2400.68,9602.72,Cash,03/04/2022,Metropol AVM
I205210,C165465,Female,68,Food & Beverage,4,20.92,83.68,Cash,03/04/2022,Mall of Istanbul
I329538,C805783,Male,59,Shoes,1,600.17,600.17,Cash,03/04/2022,Istinye Park
I247390,C126360,Female,52,Toys,1,35.84,35.84,Cash,03/04/2022,Metrocity
I254358,C324393,Female,25,Food & Beverage,4,20.92,83.68,Debit Card,03/04/2022,Kanyon
I204148,C276661,Male,68,Clothing,5,1500.4,7502,Credit Card,03/04/2022,Forum Istanbul
I235811,C322783,Male,64,Clothing,3,900.24,2700.72,Debit Card,03/04/2022,Forum Istanbul
I227833,C115320,Female,24,Technology,1,1050,1050,Credit Card,03/04/2022,Forum Istanbul
I153913,C586162,Female,33,Technology,1,1050,1050,Cash,03/04/2022,Cevahir AVM
I247202,C429302,Female,38,Clothing,5,1500.4,7502,Debit Card,03/04/2022,Forum Istanbul
I411369,C149745,Female,68,Toys,3,107.52,322.56,Credit Card,03/04/2022,Metrocity
I232206,C258130,Female,34,Technology,2,2100,4200,Debit Card,03/04/2022,Kanyon
I170525,C363056,Male,44,Books,5,75.75,378.75,Debit Card,03/04/2022,Mall of Istanbul
I131188,C263429,Male,31,Shoes,5,3000.85,15004.25,Cash,03/04/2022,Metrocity
I336300,C219745,Female,58,Toys,4,143.36,573.44,Credit Card,03/04/2022,Metrocity
I777464,C324676,Male,58,Food & Beverage,3,15.69,47.07,Cash,03/04/2022,Kanyon
I253182,C534024,Male,22,Clothing,4,1200.32,4801.28,Debit Card,03/04/2022,Viaport Outlet
I913663,C131095,Male,46,Technology,4,4200,16800,Cash,03/04/2022,Metrocity
I520559,C287126,Female,38,Clothing,2,600.16,1200.32,Debit Card,03/04/2022,Metrocity
I179039,C295472,Female,59,Technology,3,3150,9450,Cash,03/04/2022,Mall of Istanbul
I417454,C252718,Female,28,Food & Beverage,1,5.23,5.23,Debit Card,03/04/2022,Emaar Square Mall
I922981,C276485,Female,65,Clothing,1,300.08,300.08,Credit Card,03/04/2022,Istinye Park
I584318,C126152,Female,48,Clothing,3,900.24,2700.72,Credit Card,03/04/2022,Kanyon
I331331,C588883,Male,22,Toys,4,143.36,573.44,Cash,03/04/2022,Kanyon
I143997,C181599,Female,68,Toys,4,143.36,573.44,Cash,03/04/2022,Viaport Outlet
I227438,C173642,Male,41,Toys,2,71.68,143.36,Cash,03/04/2022,Kanyon
I107048,C260382,Male,32,Technology,1,1050,1050,Credit Card,03/04/2022,Mall of Istanbul
I248588,C417505,Male,31,Clothing,3,900.24,2700.72,Credit Card,03/04/2022,Zorlu Center
I142707,C237549,Female,37,Toys,3,107.52,322.56,Cash,03/04/2022,Mall of Istanbul
I322824,C182518,Female,47,Food & Beverage,3,15.69,47.07,Cash,03/04/2022,Forum Istanbul
I306423,C215733,Male,29,Clothing,3,900.24,2700.72,Cash,03/04/2022,Metrocity
